group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
0.25 + 0.125,0.5 + 0,0.1488,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1542,small
0.25 + 0.25,auto + 0,0.1539,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1574,small
0.25 + 0.25,1 + 0,0.1539,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1574,small
0.25 + 0,0.25 + 0.5,0.1585,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.1558,small
0.25 + 0,0.25 + auto,0.159,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.1552,small
0.25 + 0.5,auto + 0,0.174,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1552,small
0.25 + 0.5,1 + 0,0.174,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1552,small
0.25 + auto,auto + 0,0.1742,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1551,small
0.25 + auto,1 + 0,0.1742,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1551,small
0.25 + 0.25,2 + 0,0.1799,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1556,small
0.25 + 0.25,0.5 + 0,0.1897,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1536,small
0.25 + 0.5,2 + 0,0.2039,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1534,small
0.25 + auto,2 + 0,0.2045,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1532,small
0 + 0.25,0.25 + 0,0.2081,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1514,small
0.25 + 0.5,0.5 + 0,0.2141,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1503,small
0.25 + auto,0.5 + 0,0.2147,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1499,small
0 + 0.125,0.25 + 0,0.219,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1525,small
0 + 0.25,auto + 0,0.2275,False,Kruskal-Wallis + Dunn,Cliff's delta,0.147,small
0 + 0.25,1 + 0,0.2275,False,Kruskal-Wallis + Dunn,Cliff's delta,0.147,small
0 + 0.125,1 + 0,0.24,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1504,small
0 + 0.125,auto + 0,0.24,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1504,small
0 + 0.25,2 + 0,0.2674,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1453,negligible
0 + 0.25,0.5 + 0,0.2819,False,Kruskal-Wallis + Dunn,Cliff's delta,0.147,small
0 + 0.125,2 + 0,0.2819,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1487,small
0 + 0.125,0.5 + 0,0.2971,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1513,small
0.25 + 0,0.25 + 0.0625,0.365,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.1439,negligible
0.25 + 0.0625,auto + 0,0.4024,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1431,negligible
0.25 + 0.0625,1 + 0,0.4024,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1431,negligible
0 + auto,0.25 + 0,0.47,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1397,negligible
0.25 + 0.0625,2 + 0,0.47,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1412,negligible
0.25 + 0.0625,0.5 + 0,0.4935,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1394,negligible
0 + auto,auto + 0,0.5162,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1363,negligible
0 + auto,1 + 0,0.5162,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1363,negligible
0 + 0.5,0.25 + 0,0.5396,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1374,negligible
0 + 0.5,1 + 0,0.5954,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1337,negligible
0 + 0.5,auto + 0,0.5954,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1337,negligible
0 + auto,2 + 0,0.5989,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1345,negligible
0 + auto,0.5 + 0,0.6295,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1309,negligible
0 + 0.5,2 + 0,0.6909,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1319,negligible
0 + 0.5,0.5 + 0,0.7258,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1287,negligible
0.5 + 0.125,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0039,negligible
0.5 + 0.5,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0061,negligible
0.5 + 0.25,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0066,negligible
0.5 + 0.125,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0053,negligible
0.5 + 0.5,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0049,negligible
0.5 + 0.125,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0059,negligible
2 + 0.25,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.009,negligible
0.5 + 0.5,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.005,negligible
0.5 + 0.125,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.004,negligible
0.5 + 0.5,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0057,negligible
0.5 + 0.125,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0047,negligible
0.5 + 0.25,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0048,negligible
0.5 + 0.25,0.5 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0002,negligible
0.5 + 0.25,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0054,negligible
0.5 + 0.25,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0052,negligible
0.5 + 0.25,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0039,negligible
0.5 + 0.5,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0012,negligible
0.5 + 0.25,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0057,negligible
0.5 + 0.25,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0051,negligible
0.5 + 0.25,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0041,negligible
2 + 0.25,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0008,negligible
0.5 + 0.25,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0057,negligible
2 + 0.25,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0016,negligible
2 + 0.25,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0023,negligible
0.5 + 0.25,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0056,negligible
0.5 + 0.25,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0046,negligible
0.5 + 0.25,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0057,negligible
0.5 + 0.25,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.004,negligible
2 + 0.25,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.001,negligible
0.5 + 0.25,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.001,negligible
0.5 + 0.5,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0037,negligible
0.5 + 0.25,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0052,negligible
0.5 + 0.25,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0056,negligible
1 + 0.5,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0011,negligible
0.5 + 0.125,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0041,negligible
0.5 + 0.0625,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0157,negligible
0.5 + 0.0625,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0062,negligible
0.5 + 0.0625,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0109,negligible
0.5 + 0.0625,0.5 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0097,negligible
0.5 + 0.0625,0.5 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0102,negligible
0.5 + 0.0625,0.5 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0109,negligible
2 + 0.5,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0019,negligible
2 + 0.5,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0011,negligible
2 + 0.5,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0012,negligible
2 + auto,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.01,negligible
0.5 + 0.0625,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0148,negligible
2 + auto,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0015,negligible
2 + auto,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0004,negligible
2 + auto,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0003,negligible
auto + 0.0625,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0111,negligible
auto + 0.0625,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0105,negligible
auto + 0.0625,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0095,negligible
auto + 0.0625,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0096,negligible
auto + 0.125,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0008,negligible
auto + 0.125,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0018,negligible
auto + 0.125,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0018,negligible
auto + 0.25,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0008,negligible
2 + auto,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0004,negligible
0.5 + 0.0625,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0151,negligible
0.5 + 0.0625,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0154,negligible
0.5 + 0.0625,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0051,negligible
0.5 + 0.125,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0029,negligible
0.5 + 0.125,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.003,negligible
0.5 + 0.125,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0047,negligible
0.5 + 0.125,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0056,negligible
2 + 0.5,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0085,negligible
0.5 + 0.125,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0042,negligible
0.5 + 0.125,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0038,negligible
0.5 + 0.125,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0037,negligible
0.5 + 0.125,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0049,negligible
0.5 + 0.125,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0047,negligible
2 + 0.5,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0028,negligible
0.5 + 0.125,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0003,negligible
0.5 + 0.125,0.5 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0014,negligible
0.5 + 0.125,0.5 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0012,negligible
0.5 + 0.0625,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0151,negligible
0.5 + 0.0625,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0151,negligible
0.5 + 0.0625,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0157,negligible
0.5 + 0.0625,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0166,negligible
0.5 + 0.0625,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0053,negligible
0.5 + 0.0625,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0154,negligible
0.5 + 0.0625,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.014,negligible
0.5 + 0.0625,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.014,negligible
0.5 + 0.0625,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0156,negligible
2 + 0.5,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0015,negligible
0.5 + 0.5,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0047,negligible
0.5 + auto,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0036,negligible
0.5 + 0.5,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0041,negligible
1 + 0.125,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0014,negligible
1 + 0.125,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0003,negligible
1 + 0.125,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0104,negligible
1 + 0.125,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0005,negligible
1 + 0.125,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.001,negligible
1 + 0.125,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0008,negligible
1 + 0.0625,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0089,negligible
1 + 0.0625,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0087,negligible
1 + 0.0625,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0098,negligible
1 + 0.0625,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0104,negligible
1 + 0.125,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0019,negligible
1 + 0.0625,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0007,negligible
1 + 0.0625,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0092,negligible
1 + 0.0625,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0078,negligible
1 + 0.0625,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0083,negligible
1 + 0.0625,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0093,negligible
1 + 0.0625,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.001,negligible
1 + 0.5,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0002,negligible
