group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
fastml + condensednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3101,small
fastml + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3781,medium
ctgan + onesidedselection,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3985,medium
ctgan + onesidedselection,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3895,medium
ctgan + onesidedselection,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4799,large
ctgan + onesidedselection,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3654,medium
fastml + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4154,medium
fastml + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3877,medium
fastml + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.378,medium
ctgan + random,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.5301,large
ctgan + random,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.451,medium
adasyn + clustercentroid,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3606,medium
adasyn + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4959,large
ctgan + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.5183,large
ctgan + random,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.472,medium
smote + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.303,small
fastml + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4286,medium
fastml + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3103,small
fastml + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4029,medium
ctgan + nearmiss,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.433,medium
ctgan + nearmiss,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4237,medium
fastml + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.321,small
ctgan + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4795,large
ctgan + nearmiss,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3726,medium
fastml + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3512,medium
fastml + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4623,medium
ctgan + random,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3245,small
fastml + condensednn,tvae + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3478,medium
ctgan + onesidedselection,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4821,large
adasyn + condensednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.382,medium
ctgan + onesidedselection,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3963,medium
fastml + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.302,small
ctgan + onesidedselection,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4577,medium
ctgan + onesidedselection,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4143,medium
ctgan + onesidedselection,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3481,medium
fastml + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3639,medium
fastml + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3981,medium
fastml + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3857,medium
adasyn + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4092,medium
tvae + condensednn,tvae + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3569,medium
tvae + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4747,large
tvae + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3587,medium
ctgan + tomeklinks,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3169,small
fastml + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3622,medium
ctgan + tomeklinks,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4397,medium
adasyn + clustercentroid,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4875,large
tvae + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3596,medium
ctgan + tomeklinks,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3666,medium
fastml + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3248,small
ctgan + tomeklinks,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3877,medium
adasyn + clustercentroid,copulagan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3781,medium
ctgan + tomeklinks,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3575,medium
ctgan + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4662,medium
fastml + clustercentroid,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3769,medium
