trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
181,gaussiancopula,1,nearmiss,auto,0.8177270480384667,COMPLETE,2025-03-29 16:21:47.740596,2025-03-29 16:21:58.552620,10.812024
182,random,2,tomeklinks,auto,0.7885046901945817,COMPLETE,2025-03-29 16:21:58.578688,2025-03-29 16:22:07.473588,8.8949
183,random,auto,tomeklinks,0,0.8501211295328943,COMPLETE,2025-03-29 16:22:07.486516,2025-03-29 16:22:16.767056,9.28054
184,fastml,0.5,editednn,0.25,0.6027242045716767,COMPLETE,2025-03-29 16:22:16.779262,2025-03-29 16:22:23.963215,7.183953
185,tvae,1,editednn,0.25,0.6930653400462047,COMPLETE,2025-03-29 16:22:23.984860,2025-03-29 16:22:30.947581,6.962721
186,copulagan,2,instancehardness,0.0625,0.7109619862773654,COMPLETE,2025-03-29 16:22:30.959965,2025-03-29 16:22:42.688790,11.728825
187,smote,1,editednn,0.5,0.6971297649494581,COMPLETE,2025-03-29 16:22:42.700478,2025-03-29 16:22:48.792268,6.09179
188,fastml,0.25,clustercentroid,0.25,0.8051711830799735,COMPLETE,2025-03-29 16:22:48.804003,2025-03-29 16:23:01.316661,12.512658
189,random,1,onesidedselection,0.125,0.7997081741787624,COMPLETE,2025-03-29 16:23:01.328913,2025-03-29 16:23:10.223882,8.894969
190,adasyn,auto,nearmiss,0.25,-1.0,COMPLETE,2025-03-29 16:23:10.236576,2025-03-29 16:23:10.283491,0.046915
191,ctgan,2,random,0.25,0.7598153069181577,COMPLETE,2025-03-29 16:23:10.294918,2025-03-29 16:23:21.109861,10.814943
192,gaussiancopula,auto,random,0.5,0.8162475007892245,COMPLETE,2025-03-29 16:23:21.121604,2025-03-29 16:23:31.635816,10.514212
193,fastml,2,clustercentroid,0,0.7655436586619666,COMPLETE,2025-03-29 16:23:31.647789,2025-03-29 16:23:41.299908,9.652119
194,random,0,random,0.25,0.7113235120907087,COMPLETE,2025-03-29 16:23:41.312563,2025-03-29 16:23:50.519936,9.207373
195,random,1,nearmiss,0.125,0.8311536381867213,COMPLETE,2025-03-29 16:23:50.559224,2025-03-29 16:24:00.604740,10.045516
