group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
0 + 0.125,auto + 0,0.2349,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1461,negligible
0.25 + 0.0625,auto + 0,0.2716,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1407,negligible
0 + 0.125,2 + 0,0.2731,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1352,negligible
0.25 + 0.0625,2 + 0,0.3138,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1401,negligible
0 + 0.125,1 + 0,0.364,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1327,negligible
0.25 + 0.0625,1 + 0,0.4132,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1364,negligible
0.5 + 0.25,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0053,negligible
2 + 0.25,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0094,negligible
0.5 + 0.25,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0495,negligible
auto + 0.0625,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0346,negligible
auto + 0.0625,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0146,negligible
0.5 + 0.0625,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0398,negligible
0.5 + 0.25,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0259,negligible
0.5 + 0.25,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0013,negligible
0.5 + 0.25,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0035,negligible
0.5 + 0.25,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0051,negligible
2 + auto,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0115,negligible
2 + auto,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0259,negligible
2 + auto,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0462,negligible
2 + auto,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0528,negligible
auto + 0.0625,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.007,negligible
0.5 + 0.25,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0083,negligible
0.5 + 0.25,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0198,negligible
0.5 + 0.25,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0369,negligible
2 + 0.25,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0259,negligible
0.5 + 0.5,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0336,negligible
0.5 + 0.5,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0092,negligible
0.5 + 0.5,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0088,negligible
auto + 0.25,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0221,negligible
0.5 + 0.5,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0191,negligible
0.5 + 0.5,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0197,negligible
2 + 0.25,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0206,negligible
auto + 0.125,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0427,negligible
auto + 0.0625,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0464,negligible
0.5 + 0.5,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0208,negligible
0.5 + 0.25,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0289,negligible
0.5 + 0.25,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0068,negligible
auto + 0.125,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0297,negligible
0.5 + 0.25,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0006,negligible
0.5 + 0.25,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0055,negligible
2 + 0.25,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0125,negligible
0.5 + 0.25,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0508,negligible
0.5 + 0.25,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0329,negligible
auto + 0.125,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0085,negligible
0.5 + 0.25,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0416,negligible
0.5 + 0.25,0.5 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0165,negligible
0.5 + 0.125,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0496,negligible
0.5 + 0.0625,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0193,negligible
0.5 + 0.125,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0201,negligible
0.5 + 0.125,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0168,negligible
0.5 + 0.0625,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0444,negligible
0.5 + 0.125,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0543,negligible
2 + 0.5,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0187,negligible
0.5 + 0.125,0.5 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0369,negligible
2 + 0.5,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0276,negligible
0.5 + 0.125,0.5 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.023,negligible
0.5 + 0.0625,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0566,negligible
0.5 + 0.0625,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0464,negligible
0.5 + 0.0625,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0266,negligible
2 + 0.5,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.039,negligible
0.5 + 0.0625,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0194,negligible
0.5 + 0.0625,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0646,negligible
0.5 + 0.0625,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0128,negligible
0.5 + 0.0625,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0249,negligible
0.5 + 0.0625,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0667,negligible
0.5 + 0.0625,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0509,negligible
2 + 0.5,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0348,negligible
0.5 + 0.125,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0317,negligible
0.5 + 0.125,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0599,negligible
0.5 + 0.0625,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.029,negligible
0.5 + 0.0625,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0147,negligible
0.5 + 0.125,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0292,negligible
0.5 + 0.125,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0215,negligible
2 + 0.25,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0226,negligible
0.5 + 0.125,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0144,negligible
2 + auto,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0559,negligible
0.5 + 0.125,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0702,negligible
0.5 + 0.125,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0546,negligible
2 + 0.5,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0076,negligible
0.5 + 0.125,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0428,negligible
0.5 + 0.0625,0.5 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0023,negligible
0.5 + 0.0625,0.5 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.02,negligible
0.5 + 0.125,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0217,negligible
0.5 + 0.125,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0268,negligible
0.5 + 0.0625,0.5 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.034,negligible
0.5 + 0.0625,0.5 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0514,negligible
0.5 + 0.5,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0093,negligible
0.5 + 0.125,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0675,negligible
0.5 + 0.125,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0469,negligible
2 + 0.5,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0062,negligible
0.5 + 0.0625,1 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0179,negligible
1 + 0.5,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0255,negligible
0.5 + auto,1 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0377,negligible
0.5 + 0.5,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0034,negligible
1 + 0.125,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0027,negligible
1 + 0.5,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.003,negligible
1 + 0.125,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0078,negligible
1 + 0.125,1 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0511,negligible
1 + 0.125,1 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0289,negligible
1 + 0.125,1 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0122,negligible
1 + 0.0625,auto + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0443,negligible
1 + 0.0625,auto + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0341,negligible
1 + 0.0625,auto + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0136,negligible
1 + 0.0625,auto + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0062,negligible
1 + 0.125,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0241,negligible
1 + 0.0625,auto + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0005,negligible
1 + 0.0625,2 + auto,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0545,negligible
1 + 0.0625,2 + 0.5,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0387,negligible
1 + 0.0625,2 + 0.25,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0264,negligible
1 + 0.0625,2 + 0.125,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.0059,negligible
1 + auto,2 + 0.0625,1.0,False,Kruskal-Wallis + Dunn,Cliff's delta,0.0414,negligible
