group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
ctgan + editednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9179,large
ctgan + editednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9137,large
ctgan + editednn,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.701,large
adasyn + tomeklinks,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7134,large
ctgan + editednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9276,large
ctgan + editednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9227,large
ctgan + editednn,gaussiancopula + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8371,large
adasyn + tomeklinks,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7218,large
fastml + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3445,medium
ctgan + condensednn,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.709,large
ctgan + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.877,large
copulagan + editednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9005,large
copulagan + editednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.88,large
copulagan + editednn,tvae + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7836,large
copulagan + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9169,large
copulagan + editednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8962,large
copulagan + instancehardness,ctgan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.8971,large
copulagan + onesidedselection,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6266,large
copulagan + onesidedselection,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6343,large
copulagan + onesidedselection,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7912,large
copulagan + onesidedselection,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7884,large
ctgan + condensednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8416,large
ctgan + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9078,large
ctgan + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8962,large
ctgan + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8901,large
ctgan + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8607,large
ctgan + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8457,large
ctgan + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8933,large
ctgan + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8617,large
ctgan + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8901,large
ctgan + condensednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8752,large
ctgan + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8365,large
ctgan + condensednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8962,large
ctgan + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.863,large
ctgan + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8787,large
ctgan + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8494,large
fastml + random,tvae + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4536,medium
copulagan + editednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.921,large
fastml + tomeklinks,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2945,small
random + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.732,large
adasyn + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8676,large
adasyn + condensednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8699,large
random + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7794,large
adasyn + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8323,large
adasyn + condensednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8661,large
