trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
115,random,auto,random,auto,0.9891668172659909,COMPLETE,2025-03-29 06:45:16.430369,2025-03-29 06:45:33.073365,16.642996
116,ctgan,2,onesidedselection,auto,0.9782982230708627,COMPLETE,2025-03-29 06:45:33.094670,2025-03-29 06:45:48.876100,15.78143
117,fastml,0.5,onesidedselection,auto,0.9848589721253914,COMPLETE,2025-03-29 06:45:48.887744,2025-03-29 06:46:04.214481,15.326737
118,gaussiancopula,auto,nearmiss,0.5,0.9806037080590027,COMPLETE,2025-03-29 06:46:04.227953,2025-03-29 06:46:21.638833,17.41088
119,copulagan,0,random,0,-1.0,ERROR,,,0.0
120,copulagan,0,onesidedselection,auto,0.9783357579867517,COMPLETE,2025-03-29 06:46:36.371249,2025-03-29 06:46:49.546386,13.175137
121,tvae,0.25,editednn,0.25,0.9827173545952453,COMPLETE,2025-03-29 06:46:49.558267,2025-03-29 06:47:06.032140,16.473873
122,smote,2,nearmiss,0.125,0.9869494027026645,COMPLETE,2025-03-29 06:47:06.053278,2025-03-29 06:47:19.824549,13.771271
123,random,0.25,onesidedselection,auto,0.9783747611716287,COMPLETE,2025-03-29 06:47:19.846131,2025-03-29 06:47:32.944551,13.09842
124,copulagan,0,instancehardness,0.125,0.9763580747443754,COMPLETE,2025-03-29 06:47:32.966224,2025-03-29 06:47:48.419559,15.453335
125,copulagan,auto,instancehardness,auto,0.9870257379972729,COMPLETE,2025-03-29 06:47:48.435201,2025-03-29 06:48:06.428283,17.993082
126,random,0,condensednn,0.5,0.6203396548154443,COMPLETE,2025-03-29 06:48:06.439947,2025-03-29 06:48:18.335377,11.89543
127,random,0.25,instancehardness,auto,0.9891907860322813,COMPLETE,2025-03-29 06:48:18.349620,2025-03-29 06:48:32.694927,14.345307
128,ctgan,auto,onesidedselection,0.5,0.9782982230708627,COMPLETE,2025-03-29 06:48:32.707923,2025-03-29 06:48:48.693310,15.985387
129,copulagan,1,nearmiss,auto,0.9848362611804578,COMPLETE,2025-03-29 06:48:48.705310,2025-03-29 06:49:04.207359,15.502049
130,random,0.5,random,0,0.98916403461858,COMPLETE,2025-03-29 06:49:04.221134,2025-03-29 06:49:20.090624,15.86949
131,smote,0.5,onesidedselection,0.0625,0.9804990292603718,COMPLETE,2025-03-29 06:49:20.102684,2025-03-29 06:49:33.025145,12.922461
132,ctgan,auto,tomeklinks,auto,0.982663952192812,COMPLETE,2025-03-29 06:49:33.036863,2025-03-29 06:49:51.994577,18.957714
133,ctgan,0,random,0.5,0.993502999650116,COMPLETE,2025-03-29 06:49:52.006236,2025-03-29 06:50:08.013275,16.007039
134,ctgan,0.25,clustercentroid,0,0.9782971627011856,COMPLETE,2025-03-29 06:50:08.028401,2025-03-29 06:50:25.375227,17.346826
135,gaussiancopula,2,nearmiss,0.5,0.9806037080590027,COMPLETE,2025-03-29 06:50:25.389518,2025-03-29 06:50:42.838777,17.449259
136,tvae,2,onesidedselection,auto,0.9805080849157983,COMPLETE,2025-03-29 06:50:42.853813,2025-03-29 06:50:58.570861,15.717048
137,gaussiancopula,0.25,nearmiss,0.0625,0.9806037080590027,COMPLETE,2025-03-29 06:50:58.584634,2025-03-29 06:51:16.686824,18.10219
138,copulagan,0.5,clustercentroid,0,0.9848186793619221,COMPLETE,2025-03-29 06:51:16.702990,2025-03-29 06:51:33.606458,16.903468
139,ctgan,2,nearmiss,0.0625,0.9891604499066595,COMPLETE,2025-03-29 06:51:33.620590,2025-03-29 06:51:52.186485,18.565895
140,copulagan,0,nearmiss,auto,0.9892179705155923,COMPLETE,2025-03-29 06:51:52.207925,2025-03-29 06:52:08.446384,16.238459
141,ctgan,0.5,tomeklinks,0.5,0.982663952192812,COMPLETE,2025-03-29 06:52:08.458543,2025-03-29 06:52:27.873015,19.414472
142,ctgan,0.5,nearmiss,0.25,0.9891604499066595,COMPLETE,2025-03-29 06:52:27.885757,2025-03-29 06:52:46.452694,18.566937
143,ctgan,0,random,auto,0.993502999650116,COMPLETE,2025-03-29 06:52:46.474460,2025-03-29 06:53:02.540796,16.066336
144,smote,auto,onesidedselection,0.5,0.9804990292603718,COMPLETE,2025-03-29 06:53:02.553560,2025-03-29 06:53:15.457874,12.904314
145,fastml,2,random,0.125,0.991343141164981,COMPLETE,2025-03-29 06:53:15.469643,2025-03-29 06:53:31.663427,16.193784
146,tvae,0.25,clustercentroid,0.0625,0.9935064935064936,COMPLETE,2025-03-29 06:53:31.685170,2025-03-29 06:53:53.252001,21.566831
147,fastml,2,tomeklinks,0,0.9847832082520709,COMPLETE,2025-03-29 06:53:53.273530,2025-03-29 06:54:08.311540,15.03801
148,ctgan,0.25,condensednn,0,0.9782971627011856,COMPLETE,2025-03-29 06:54:08.333982,2025-03-29 06:54:25.483579,17.149597
149,fastml,2,clustercentroid,0.125,0.9848321084847547,COMPLETE,2025-03-29 06:54:25.495508,2025-03-29 06:54:48.643575,23.148067
150,tvae,0.25,random,0,0.9869457197202036,COMPLETE,2025-03-29 06:54:48.656784,2025-03-29 06:55:04.994014,16.33723
151,ctgan,0.25,editednn,0.125,0.9805539716227228,COMPLETE,2025-03-29 06:55:05.007141,2025-03-29 06:55:21.179005,16.171864
152,smote,2,instancehardness,0.5,0.9870488319531496,COMPLETE,2025-03-29 06:55:21.200180,2025-03-29 06:55:37.956124,16.755944
153,ctgan,1,clustercentroid,0.25,0.9782569445361456,COMPLETE,2025-03-29 06:55:37.968517,2025-03-29 06:56:01.146759,23.178242
154,random,1,instancehardness,auto,0.9891907860322813,COMPLETE,2025-03-29 06:56:01.158892,2025-03-29 06:56:15.495944,14.337052
155,ctgan,1,condensednn,0.25,0.6282040340090724,COMPLETE,2025-03-29 06:56:15.508170,2025-03-29 06:56:28.623524,13.115354
156,adasyn,0,clustercentroid,0,-1.0,ERROR,,,0.0
157,random,0.5,instancehardness,0.0625,0.9891907860322813,COMPLETE,2025-03-29 06:56:43.413072,2025-03-29 06:56:57.705345,14.292273
