group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
random + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3809,medium
fastml + editednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3903,medium
fastml + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4263,medium
fastml + editednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4188,medium
fastml + editednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4094,medium
ctgan + tomeklinks,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3165,small
adasyn + condensednn,copulagan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6405,large
adasyn + condensednn,copulagan + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4575,medium
adasyn + condensednn,copulagan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6524,large
adasyn + condensednn,copulagan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6668,large
adasyn + condensednn,gaussiancopula + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4892,large
adasyn + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6255,large
adasyn + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.659,large
fastml + editednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3884,medium
fastml + editednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3966,medium
adasyn + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.61,large
adasyn + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6676,large
